,Unnamed: 0,Review,Class,Conteo,Max,Min,moda,tokens,ClassBestModel
5467,5513,"Buenas instalaciones, los animales se ven bien atendidos, los empleados son educados y explican muy claro lo que te están mostrando en el recorrido. El show de delfines es muy entretenido, tanto que vas a querer nadar junto a ellos. El precio de entrada es accesible.",4,267,14,1,ser,buen instalación animal ver bien atendido empleado ser educado explicar claro mostrar recorrido show delfín ser entretenido ir querer nadar junto precio entrada ser accesible,5
4579,4610,"Nos  lo habian recomendado pero no  me parecio interezante, es grande pero no me parecio algo relevante en La Habana que tiene muchas cosas para recorrer",3,153,12,0,parecer,haber recomendar parecer interezante ser grande parecer relevante habana tener cosa recorrer,3
5140,5180,"La comida aqui comparada con lo que ofrece Cuba no está mal.. pero yo en mi caso me pedi cangrejo picante y puff no estaba nada bueno pero siendo sincera lo recomendaria para comer otras cosas, tienes que reservar siempre porque hay pocas mesas y...Más",2,252,12,1,comida,comida aqui comparado ofrecer cuba mal caso pedir cangrejo picante puff buen ser sincero recomendar comer cosa tener reservar siempre haber mesa ma,2
3822,3845,"Para muchos mendigos , seguridad simplemente ignora el bebé de distribuidores de drogas del hotel . Una persona bebé permanente del hotel me dijo que me iba a asesinato y seguridad no hicieron nada. Los cuartos de baño están bien, pero las camas parece que están llenos de paja y sábanas parece que desde los días de antaño.",2,324,14,1,seguridad,mendigo seguridad simplemente ignorar beber distribuidor droga hotel persona beber permanente hotel decir ir asesinato seguridad hacer cuarto bano bien cama parecer lleno paja sabana parecer dia antano,2
6366,6424,Si se hospedan en cancun el camino es laaargoo para llegar las ruinas son fenomenales e imponentes pero lleven toodo lo que puedan para taparse el sol por que hay muucho y poca sombra protector solar y antimosquitos son indispensables te llevan antes a unas tiendas donde venden artesanías carissimas y al llegar a chichenitza encuentras todo baratisimo así que cuidado si no son extranjeros y no pasan aduanas recomiendo mas comprar allí mismo !!,3,447,14,1,ser,si hospedar cancun camino ser laaargoo llegar ruina ser fenomenal imponente llevar toor poder tapar sol haber muucho sombra protector solar antimosquito ser indispensable llevar tienda vender artesania carissimo llegar chichenitza encontrar baratisimo asi cuidado si ser extranjero pasar aduana recomer mas comprar alli mismo,4
1435,1437,"Con un montón de esfuerzos y de gastos, este será un gran lugar para alojarse. Ahora (debido a que el embargo de los Estados Unidos), tiene ahora en la ruina. Pasamos el dinero disponible en el vestíbulo y el comedor, que es moderna y dar promesa que el resto de la propiedad será el mismo. Los bungalows tienen muchos problemas, de la falta de agua caliente, balcones desmoronándose, los pobres trabajo de pintura, A/C, etc. , etc. La comida en el buffet de la cena era abundante, pero no es bueno. Lo mismo para el desayuno.",2,526,15,1,ser,monton esfuerzo gasto ser gran lugar alojar ahora debido embargo unido tener ahora ruina pasar dinero disponible vestibulo comedor ser moderno dar promesa resto propiedad ser mismo bungalon tener problema falta agua caliente balcón desmoronar pobre trabajo pintura c etc etc comida buffet cena ser abundante ser buen mismo desayuno,3
407,407,El hotel en si es muy bueno.Hotel muy nuevo y moderno con habitaciones comodas y confortables a un precio acorde al nivel de hotel. Esta cerca de puntos interesantes en la ciudad y muy accesible desde el periférico. Lo único cuestionable es el estacionamiento el cual se percibe inseguro ya que lo comparte con un centro comercial y queda alejado del edificio del hotel.,4,370,15,1,hotel,hotel si ser buen hotel nuevo moderno habitación comodo confortable precio acorde nivel hotel cerca punto interesante ciudad accesible periferico unico cuestionable ser estacionamiento percibir inseguro compartir centro comercial quedar alejado edificio hotel,4
1342,1344,"Estuvimos hace dos semanas. Hotel muy correcto. Empleados muy amables. Desayuno que no te lo acabas. Nuestra habitación en la  planta, muy bien. En la última planta tiene una sala de fiestas -Torcado-, regulín. Lo mejor las vistas. Muy bien situado. Cerca del malecón, de buenos restaurantes, de la universidad, de la parada del bus turístico..ah!! y sobre todo ten presente un hecho importante...estás en Cuba.",4,413,18,1,planta,hacer dos semana hotel correcto empleado amable desayuno acabar habitacion planta bien ultimo planta tener sala fiesta torcado regulin mejor vistas bien situado cerca malecon buen restaurante universidad parada bus turistico ah tener presente hecho importante cuba,4
3677,3699,Pésimo hotel está sucio viejo y pésimo trato la alberca parece pantano el elevador de x y sucio pésima experiencia ya mejor preferí perder el dinero y me cambié de hotel la sala que te recibe esta sucio y muy viejooo!!!  No lo recomiendo a nadie !!,1,250,11,0,pesimo,pesimo hotel sucio viejo pesimo trato alberca parecer pantano elevador x sucio pesimo experiencia mejor preferir perder dinero cambiar hotel sala recibir sucio viejooo recomer nadie,1
6491,6552,"Mi esposa y yo nos alojamos tres noches en el Meliá Cohiba ( de abril,  y  de julio). Un hotel muy agradable, con un personal excelente. En la segunda noche tuvimos que llamar a casa (U. S.) y el personal era muy servicial. Cuando nuestro inodoro dejó de funcionar que llamé a la recepción y el fontanero llegamos en aproximadamente  minutos. Fácil de cambiar dinero. Tienda de regalos muy agradable. Nuestra única comida en el hotel era el desayuno ( veces), pero fue excelente, con una gran selección. Fácil de llegar desde La Habana Vieja, alrededor de  o  millas. Muy contentos con la experiencia. Me quedaría allí de nuevo sin dudarlo.",5,651,15,1,ser,esposa alojar tres noche melia cohibo abril julio hotel agradable personal excelente segundo noche tener llamar casa u s personal ser servicial inodoro dejar funcionar llamar recepcion fontanero llegar aproximadamente minuto facil cambiar dinero tienda regalo agradable unico comida hotel ser desayuno vez ser excelente gran seleccion facil llegar habana viejo alrededor milla contento experiencia quedar alli nuevo dudar,4
7753,7826,"Muy bien situado, muy cerca de la principal zona turística. El personal es agradable y bonito mobiliario. Fotos históricas de bar vale la pena visitar.",4,151,11,1,bien,bien situado cerca principal zona turistico personal ser agradable bonito mobiliario foto historico bar valer pena visitar,3
7340,7412,"La verdad que el hotel pues deja un poco que desear en cuanto a comida teniamos solo el almuerzo y ademas de poca variedad la comida bastante floja. El mantenimiento tambien es bastante mejorable, pero para estar  o  dias para visitar l'habana como pasas poco tiempo en el hotel pues para ir solo a dormir no esta mal. ",2,321,13,0,hotel,verdad hotel pues dejar desear cuanto comida tener solo almuerzo adema variedad comida bastante flojo mantenimiento tambien ser bastante mejorable dia visitar l habana pasar tiempo hotel pues ir solo dormir mal,3
305,305,"Me pusieron en un olor a humedad terrible habitación en la planta ª que había moho en el techo, un ventilador que no podía ser regulado e hizo un escándalo en toda la noche, un cuarto de baño con bañera esmalte desconchado y agua caliente y una sensación general de la sala de estar sucio. Sevilla ellos mismos redimida por brindarme una habitación superior suite en mi regreso a La Habana en mi último día en Cuba, así como un desayuno VIP en su restaurante con terraza. Las vistas eran espectaculares, pero eso era todo me temo que decir. La conexión WiFi era constantemente en el blink y creo que si pasamos una fracción en además de sus habitaciones de la planta inferior, en vez de centrarse en la zona de recepción espléndida, más puede ser mucho más feliz! Yo preferiría con mucho…",2,789,15,1,ser,poner olor humedad terrible habitacion planta haber moho techo ventilador poder ser regulado hacer escandalo noche cuarto bano banera esmalte desconchado agua caliente sensacion general sala sucio sevilla mismo redimido brindar habitacion superior suite regreso habana ultimo dia cuba asi desayuno vip restaurante terraza vistas ser espectacular ser temer decir conexion wifi ser constantemente blink creer si pasar fraccion adema habitación planta inferior vez centrar zona recepcion esplendido mas poder ser mas feliz preferir,3
1936,1941,"Yo estuve alli de luna de miel,y su ubicacion nos llevo a elegir ese hotel.El resultado fue pesimo....no lo siguiente.Ya no eran solo las humedades,los cables pelados,y hasta animalillos sueltos por la habitacion,eran como cucarachas.No se lo recomidendo para nada.Enfrente sin ir mas lejos tienen el telegrafo que esta bastante mas cuidado que este...y alguno mas de nivel superior.Que no los engañen,no merece la pena.",1,420,15,1,ser,alli luna miel ubicacion llevar elegir hotel resultado ser pesimo siguiente ser solo humedades cable pelado animalillo suelto habitacion ser cucaracha recomidender enfrente ir mas lejos tener telegrafo bastante mas cuidado alguno mas nivel superior enganar merecer pena,1
1073,1075,"Este viaje no era para mí. I formulario al anochecer Caracas eran también disponemos de una montaña y del teleférico que son mucho mejor, y también viví en Río eran haces lo mismo ir al Pão de Açucar (uno del monumento del mundo), tranvía así que para mí fue simplemente aburrido. La única cosa que no hay que visitar la iglesia, que no tiene mucho, y un mercado en la calle. La gente era muy desagradable, y tardó horas en llegar, ya que no tienen todos los teleféricos que operan.No malgastes tu tiempo venir a este lugar.",1,524,13,1,ser,viaje ser i formulario anochecer caraca ser tambien disponer montana teleferico ser mejor tambien vivir rio ser hacer mismo ir pao acucar monumento mundo tranvia asi ser simplemente aburrido unico cosa haber visitar iglesia tener mercado calle gente ser desagradable tardar hora llegar tener teleferico operar malgar tiempo venir lugar,3
4482,4511,"Un hermoso y concurrido lugar, si tienes la suerte de llegar temprano y disfrutar de la tranquilidad de tener el sitio a su propia. Hacerlo!Hay un montón de arquitectura española, edificio están restaurados mientras escribo esto. tienen un bonito café cubano y observar a la gente.unos cuantos restaurantes y bares para tomar una comida.",5,337,12,1,tener,hermoso concurrido lugar si tener suerte llegar temprano disfrutar tranquilidad tener sitio propio hacer haber monton arquitectura espanol edificio restaurado mientras escribir tener bonito cafe cubano observar gente cuanto restaurante bar tomar comida,4
1949,1954,"La ubicación es por lejos lo mejor del hotel,  frente al malecón para disfrutar de las lindas puestas de sol y dar un paseo.  Y caminando se llega al casco antiguo una belleza. El hotel es muy básico y sencillo,  reservamos  habitaciones y todas con buen aire acondicionado y limpia en general, sólo tenía jabón (llevar shampoo). El desayuno sencillo pero tienes lo necesario para no pasar hambre. El personal en general amable,  todos fuman en el hotel es muy raro ver a la camarera fumando en los pasillos,  pero Cuba es un mundo aparte.  Lo recomiendo para aprovechar bien el tiempo y recorrer al máximo.  ",2,610,13,0,ser,ubicacion ser lejos mejor hotel frente malecon disfrutar lindo puesto sol dar paseo caminar llegar casco antiguo belleza hotel ser basico sencillo reservar habitación buen aire acondicionado limpio general solo tener jabon llevar shampoo desayuno sencillo tener necesario pasar hambre personal general amable fumar hotel ser raro ver camarera fumar pasillo cubar ser mundo aparte recomer aprovechar bien tiempo recorrer maximo,4
6454,6515,"Lo cogimos para una noche de paso hasta coger el avión. Muy feo, viejo, sucio, con cucarachas. Mejor que lo cierren. Está que se cae y luego por la noche un movimiento de gente que nos pareció que puede servir para trabajar las jineteras.",1,238,11,1,coger,coger noche paso coger avion feo viejo sucio cucaracha mejor cerrar caer luego noche movimiento gente parecer poder servir trabajar jinetera,2
1356,1358,"Su comida es una maravilla, la vista es preciosa y el personal muy amable.

Una de las cosas que más nos gustaba hacer es pedir el carrito de quesos como aperitivo. lo segundo que no es con una buena botella de vino. ¡Qué manera de empezar la cena!

Mi marido le encanta el New York Steak y el pescado del día. Tuve el pargo rojo en la salsa menuire (salsa de mantequilla). Sé que lo escribo mal. Y para rematar, tuvimos el gran soufflé de Mariner! Conseguir con helado de vainilla. Excepcional! Nos visita una vez por semana mientras estamos aquí en el Grand Luxxe. No te pierdas.",5,581,13,1,ser,comida ser maravilla vista ser precioso personal amable cosa mas gustar hacer ser pedir carrito queso aperitivo segundo ser buen botella vino manera empezar cena marido encantar new york steak pescado dia tener pargo rojo salsa menuire salsa mantequilla escribir mal rematar tener gran souffle mariner conseguir helado vainilla excepcional visitar vez semana mientras aqui grand luxxe perder,5
308,308,"Construcción del siglo XVI con una nave central impresionante, de estilo sobrio y elegante posee una paz que solo estando dentro se puede experimentar, cuenta con la decoración precisa que pareciera austera pero mas bien la necesaria, no puedes dejar de visitarla",5,263,14,1,poder,construccion siglo xvi nave central impresionante estilo sobrio elegante poseer paz solo dentro poder experimentar contar decoracion preciso parecer austero mas bien necesario poder dejar visitar,5
2119,2127,"Está pensado para turistas europeos, cuesta  la entrada, es decir  almuerzos. Así que lo vimos por afuera nomas",1,117,10,1,pensado,pensado turista europeo costar entrada decir almuerzo asi ver afuera noma,5
2434,2445,"Definitivamente trampa para turistas, pero un lugar divertido para pasar el rato y machacar algunos mojitos. Estaba cerca de mi piso por lo que hice varias visitas. Ambiente divertido!",4,184,15,1,divertido,definitivamente trampa turista lugar divertido pasar rato machacar alguno mojito cerca piso hacer varios visita ambiente divertido,3
6141,6194,"creo que puede ofrecer mejores cortes de carne asada que tambien es tipica de la ciudad, muy vistoso quien viene a monterrey y no lo visita es como no venir a la ciudad",3,168,9,1,ser,creer poder ofrecer mejor corte carne asado tambien ser tipico ciudad vistoso venir monterrey visitar ser venir ciudad,5
3661,3682,"Este hotel tiene muchas cosas buenas, las habitaciones son bonitas, aseado en todo lugar, el servicio en el hall es bueno, las comidas deberían ser mas variadas. En el bar el servicios también podría mejorar.",3,208,12,2,ser,hotel tener cosa buen habitación ser bonito aseado lugar servicio hall ser buen comida deber ser mas variado bar servicio tambien poder mejorar,3
2851,2865,"Es el bar más famoso de La Habana. Lugar típico donde muchos visitantes, escritores y políticos dejaron su recuerdo en las paredes. Se inauguró en el año  y se destaca por tener el mejor mojito de Cuba. No sé si será el mejor, pero...Más",4,241,11,1,ser,ser bar mas famoso habana lugar tipico visitante escritor politico dejar recuerdo pared inaugurar ano destacar tener mejor mojito cuba si ser mejor ma,3
7583,7656,"En general, nuestra estancia no fue lo que esperábamos de ninguna manera. La calidad de la comida y la cantidad era bajo, no había ninguna verduras para el desayuno o alguna fruta para la cena, cuando tenían frutos las elecciones eran limitadas a las sandías, blancas piñas, melones y papaya, eso es todo! e incluso que era sólo para el desayuno la mayoría de los días. Pero siempre había bichos subiendo en frutas y fue asqueroso. Cuando se prepararon una tortilla para mí, un insecticida frito con los huevos. Había pájaros volando en todo el lugar y comiendo su comida. Los restaurantes de especialidades estaban cerradas en ocasiones, y el buffet era a veces está cerrada para el almuerzo dejando la nada de comer, pero el sitio de comida rápida con opciones aún más limitadas de comida. Nos gustó el restaurante italiano, aunque algunas de la comida era falso, nos dieron algunas medusas cosa y dijo que estaba tiramisú. No hay helado gratis. que los embalajes tazas y pajas desechables de plástico. No hay equipos de agua no motorizados: no hay kayaks, no hay catamaranes, nada. No hay jacuzzi. el entretenimiento por la noche era cortos y de baja calidad, siempre repitiendo después de una semana. cerca del final de nuestra estancia, el número de personas disminuyeron drásticamente y la calidad de todo disminuyó aún más. El Riu Jalisco, que es justo por Samba, también  estrellas, sobre el mismo precio, sería una mejor opción. Un amigo de Riu trajeron frutas y sándwiches en recipientes cerrados herméticamente desechables que ya estaban llenos en su hotel. nos ayudó especialmente en nuestro último día cuando no nos dejaron comer después de dejar el hotel.
Playa: bueno, pero no hay socorristas. pocas personas se rescataron de drowning by compatriotas nadadores y emergencia vino y no RCP
mar: fuertes olas, medusas, rayos. Sólo últimos días de nuestra estancia de dos semanas, el mar estaba en calma y para nadar.",1,1931,15,1,ser,general estancia ser esperar ninguno manera calidad comida cantidad ser bajo haber ninguno verdura desayuno alguno fruta cena tener fruto elección ser limitar sandia blanco pina melón papaya ser incluso ser solo desayuno mayoria dia siempre haber bicho subir fruta ser asqueroso preparar tortilla insecticida frito huevo haber pajaro volar lugar comer comida restaurante especialidad cerrado ocasión buffet ser vez cerrado almuerzo dejar comer sitio comida rapido opción aun mas limitado comida gusto restaurante italiano aunque alguno comida ser falso dar alguno medusa cosa decir tiramisu haber helado gratis embalaz taza paja desechable plastico haber equipo agua motorizado haber kayak haber catamarán haber jacuzzi entretenimiento noche ser corto bajo calidad siempre repetir despues semana cerca final estancia numero persona disminuir drasticamente calidad disminuir aun mas riu jalisco ser justo samba tambien estrella mismo precio serio mejor opcion amigo riu traer fruta sandwiches recipiente cerrado hermeticamente desechable lleno hotel ayudo especialmente ultimo dia dejar comer despues dejar hotel playa buen haber socorrista persona rescatar drowning by compatriota nadador emergencia vino rcp mar fuerte ola medusa rayo solo ultimo dia estancia dos semana mar calma nadar,3
3833,3856,"Un excelente restaurante, el cabrito es delicioso y la atención muy buena, imperdible si estás en la ciudad",5,107,12,1,excelente,excelente restaurante cabrito ser delicioso atencion buen imperdible si ciudad,5
3361,3379,"Me tocó quedarme  semana en ese hotel!!! Las instalaciones son muy sucias, el personal es muy pesado, los baños sociales NUNCA hubi papel higienico. Lo unico bueno es la limpieza en los bungalow, las señoritas son muy amables y honestas. Tambien, quienes eran buenas personas eran los que atienden en el bar, dos jovenes. El precio que se paga por el hotel no lo vale... hubiera preferido quedarme en otro. Ademas que, el agua de la piscina apesta horrible ni ganas de bañarse dan... ",2,485,13,0,ser,tocar quedar semana hotel instalación ser sucio personal ser pesado bano social nunca hubir papel higienico unico buen ser limpieza bungalow senorita ser amable honesto tambien ser buen persona ser atender bar dos joven precio pagar hotel valer haber preferir quedar ademas agua piscina apestar horrible gana banar dar,2
2653,2664,"Esperaba un hotel de  estrellas con instalaciones de primera clase. El hotel ha sido maravillosa en el pasado con un hall of fame de los visitantes del hotel con gente como Frank Sinatra y muchos, muchos más. El personal fue amable, aparte del hall of fame bar, los manteles blancos acuáticos del centro de mesa estaban llenas de manchas y sucias. El White mesa toallitas estaban cubiertas por manteles azules que se cambiaron cuando las mesas fueron aprobados pero manteles blancos no cambiaron sólo cubrió. Totalmente higiénico. La calidad de la comida era mala y desayuno tortillas preparadas adecuadamente. Fue una pesadilla de salida y hora de salida se realizó en el mostrador: cheque y sólo uno de los miembros del personal Mans esta recepción.",1,752,14,1,ser,esperar hotel estrella instalación primero clase hotel haber ser maravilloso pasado hall of fame visitante hotel gente frank sinatro mas personal ser amable aparte hall of fame bar mantel blanco acuatico centro mesa lleno mancha sucio white mesa toallita cubierto mantel azul cambiar mesa ser aprobar mantel blanco cambiar solo cubrir totalmente higienico calidad comida ser malo desayuno tortilla preparado adecuadamente ser pesadilla salida hora salida realizar mostrador cheque solo miembro personal man recepcion,2
1600,1602,"Hotel de lujo. Recién estrenado. Rápido check-in y el out. Ascensores, pasillos y espacios comunes, todo impecable. Las habitaciones son muy modernas y cómodas. Los bares y restaurantes son lujosos y modernos, a un precio acorde a los de afuera y con muy buenos platos. La cafetería del Piano Lounge es hermosa y con una barra muy completa en tragos. También tiene un salón para degustar habanos que es perfecto. El desayuno es de una calidad increíble tanto en la presentación como en la variedad de productos de primer nivel. El sexto piso tiene un gimnasio ultra moderno y completísimo, con profesores capacitados y simpáticos dispuestos a ayudar y entrenar. También hay una piscina de ensueño con vista al Malecón, con una barra y un restó a su lado. Está rodeada de mesas y poltronas…",5,789,13,1,ser,hotel lujo reciar estrenar rapido check in out ascensor pasillo espacio común impecable habitación ser moderno comodo bar restaurante ser lujoso moder precio acorde afuera buen plato cafeteria piano lounge ser hermoso barra completo trago tambien tener salon degustar habano ser perfecto desayuno ser calidad increible presentacion variedad producto primero nivel sexto piso tener gimnasio ultra moderno completisimo profesor capacitado simpatico dispuesto ayudar entrenar tambien haber piscina ensueno vista malecon barra resto lado rodeado mesa poltrona,5
6479,6540,"Nuestro grupo de  adultos y dos niños pequeños disfrutamos mucho de nuestra visita a este restaurante. Pedimos una variedad de pizzas y pierna de cerdo y lasaña. Todos eran muy buenos. Tenía dos botellas de vinos de buena calidad. De hecho, nos fueron felices después de nuestra experiencia y dicho todo, volvería sin duda. Gran ambiente de comedor exterior y música en vivo realmente aumenta a todo.",5,401,12,1,dos,grupo adulto dos nino pequeno disfrutar visita restaurante pedir variedad pizza pierna cerdo lasana ser buen tener dos botella vino buen calidad hecho ser feliz despues experiencia dicho volver duda gran ambiente comedor exterior musica vivo realmente aumentar,5
6022,6073,"El sazón es rico, la cantidad de sal en los alimentos es la ideal para mi gusto, amabilidad del capitán de meseros.
El café está buenisisisisimo.",4,145,16,2,ser,sazon ser rico cantidad sal alimento ser ideal gusto amabilidad capitan mesero cafe buenisisisisimo,4
2866,2880,"Una muy simple interior con techos muy altos. No hay mucho que ver: la historia es más interesante, pero necesitas un guía para sacar de la historia.",2,149,12,2,historia,simple interior techo alto haber ver historia ser mas interesante necesitar guia sacar historia,3
6320,6378,Lo puedes brincar esta lejos y no vale la pena en lo más mínimo mejor visitar las momias en alguna exposición itinerante nosotros Pgamos completo el boleto y no nos incluyeron. Todo el recorrido malo chiquito no vale la pena la vuelta mejor ver otras cosas...en gto,1,265,11,1,valer,poder brincar lejos valer pena mas minimar mejor visitar momia alguno exposicion itinerante pear completo boleto incluir recorrido malo chiquito valer pena vuelta mejor ver cosa gto,3
3289,3307,"Lástima el descuido de esta bella propiedad y además de estar en mal estado cobran la entrada, por tomar foto y videos. Es un lugar con posibilidades, pero no está buenas condiciones.",1,183,14,1,lastimar,lastimar descuido bello propiedad adema mal cobrar entrada tomar foto video ser lugar posibilidad buen condición,4
1347,1349,"La plaza es grandiosa y se ve en cada rincon el espiritu con la que se construyo. se siente uno como triste en este lugar tan enorme , auque no dejas de ser bello, personalmente no me gusto me parecio como fuera de epoca , no me gusto",2,234,13,1,ser,plaza ser grandioso ver cada rincon espiritu construir sentir triste lugar enorme auque dejar ser bello personalmente gusto parecer ser epoca gusto,5
447,447,"Nos recibió un guía muy bien informado que compartimos la historia relativa a muchos de los sitios de tumbas y tumbas. El contraste de cómo muy bien estos sitios fueron mantenidos en comparación a las condiciones de muchos de los edificios ocupados y desocupados en La Habana, fue un lío.",4,288,11,1,bien,recibir guia bien informado compartir historia relativo sitio tumba tumba contraste bien sitio ser mantener comparacion condición edificio ocupado desocupado habana ser lio,4
2742,2754,"Gran lugar, muy concurrido en un domingo. No vaya los domingos. Todos los residentes mexicanos tienen en gratis con ID, así que la mitad del país está allí. Todo el mundo estaba bien, pero estaba llena de gente tratando de entrar al lugar.Las entradas no están limpios. Había basura por todos lados. Con la cantidad de dinero que entra a ese lugar, que podía pagar a alguien para mantenerlo recogido.También no es la amplitud de tráfico al agradable lugar. Las aceras de la zona cerrada son un desastre y las soleras alrededor de los árboles están fuera de lugar. ¿Por qué i punto esto? Porque es un accidente esperando a suceder. Si no estás de pie, ME nimble evitaría pasar cualquier cantidad de tiempo tratando de pasearse por las caída de puntos.Los vendedores estaban bien, pero hay un montón de ellos y cada idiota con los pequeños jefes sonar utiliza jaguar que hacen ruido. Se vuelve irritante.En general es un evento agradable y yo estoy contento de no decirle a la gente subir los escalones. Por todo el dinero que el rake, emplear algunas personas para mantenerlo limpio.",4,1082,16,1,lugar,gran lugar concurrido domingo ir domingo residente mexicano tener gratis id asi mitad pais alli mundo bien lleno gente tratar entrar lugar entrada limpio haber basura lado cantidad dinero entrar lugar poder pagar alguien mantener recogido tambien ser amplitud trafico agradable lugar acera zona cerrado ser desastre solera alrededor arbol lugar i punto ser accidente esperar suceder si pie nimblar evitario pasar cualquiera cantidad tiempo tratar pasear caida punto vendedor bien haber monton cada idiota pequeno jefe sonar utilizar jaguar hacer ruido volver irritante general ser evento agradable contento decir gente subir escalón dinero rake emplear alguno persona mantener limpio,3
4853,4890,Un lugar tranquilo. Lo único malo son los vagabundos que hay muchos y vendedores ambulantes. Cerca de ahí encontraras donde comer delicioso,3,139,11,1,lugar,lugar tranquilo unico malo ser vagabundo haber vendedor ambulante cerca ahi encontrar comer delicioso,4
6263,6318,"Despues de caminar por La Habana vieja, llenarse los ojos y el espiritu bien vale la pena descansar en algun bar, cafe o siplemente cordon de la vereda de la Plaza Vieja, Lugar para relajarse, disfrutar de la gente, paladear un buen helado o un excelente cafe...y seguir paseando",5,279,10,1,viejo,despues caminar habana viejo llenar ojo espiritu bien valer pena descansar alguno bar cafe siplemente cordon vereda plaza viejo lugar relajar disfrutar gente paladear buen helado excelente cafe seguir pasear,5
462,462,"Hemos estado apenas un día pero la verdad es que ha sido un poco lamentable . El servicio excepto el de la piscina y playa muy malo. Al llegar nos dijeron que no hacía falta reservar en los restaurantes en la recepción y al llegar la hora de la cena por lo visto en el restaurante Japonés hacía falta reservar y no había plazas disponibles. Por otro lado, bajando a otro restaurante decidimos ir al japonés a ver si había sitio y nos dicen que sin problemas que podemos cenar. En el Japones que estaba bastante bueno lo que comimos de  platos nos trajeron solo  y encima después de  horas y media. Al final nos fuimos sin comer Segundo plato. Respecto al alquiler de una embarcación para ir a islas rosario es carísimo y la verdad que nos dijeron que no había plaza, así que tuvimos que…",1,790,12,1,haber,haber apenas dia verdad ser haber ser lamentable servicio excepto piscina playa malo llegar decir hacia falta reservar restaurante recepcion llegar hora cena visto restaurante japón hacia falta reservar haber plaza disponible lado bajar restaurante decidir ir japón ver si haber sitio decir problema poder cenar japón bastante buen comer plato traer solo encima despues hora medio final ir comer segundo plato respecto alquiler embarcacion ir isla rosario ser carisimo verdad decir haber plaza asi tener,2
4069,4092,"Fui con mis amigas a celebrar nuestro cumpleaños; la atención, la comida y las bebidas calidad optima; y nuestra estadía en general fue gratificante.",4,149,13,1,ir,ir amiga celebrar cumpleanos atencion comida bebida calidad optimo estadia general ser gratificante,5
3187,3204,Hermoso edificio. Creo que todas las grandes pinturas son del mismo artista. Una buena historia en las obras de arte. Ir en donde los guardias imponentes son (me sentí como que no deberían caminar por ellos) y diríjase a las segundas galerías de la planta. Gratis.,3,264,10,1,ser,hermoso edificio creer grande pintura ser mismo artista buen historia obra arte ir guardia imponente ser sentir deber caminar dirijar segundo galeria planta gratis,5
1177,1179,"la expectativa  de un lugar donde se encuentra el sabor veracruzano no tiene nada que ver con la realidad. se respira aire viejo, y malos olores. definitivamente malo.",2,167,15,0,malo,expectativa lugar encontrar sabor veracruzano tener ver realidad respirar aire viejo malo olor definitivamente malo,2
3772,3794,"Este lugar es precioso. Algunas de sus habitaciones están llenas de muebles de época, y otras tienen una ecléctica colección de armas a tronos de carruajes. A menudo se celebran conciertos están fuera.",5,201,12,1,lugar,lugar ser precioso alguno habitación lleno mueble epoca tener eclectico coleccion arma trono carruaje menudo celebrar concierto,4
2450,2461,"Tristemente en mi último viaje vi que se rebosaban las alcantarillas del sector, lo que generaba un fuerte olor. De igual forma, en algunos parques y árboles abundaban los ratones :-/ Qué mal!Creo que es urgente la intervención del gobierno de la ciudad en el manejo de las aguas residuales y control de roedores.",2,313,13,1,tristemente,tristemente ultimo viaje ver rebosar alcantarilla sector generar fuerte olor igual forma alguno parque arbol abundar ratón mal creer ser urgente intervencion gobierno ciudad manejo agua residual control roedor,4
1090,1092,"Un lugar típico de Guanajuato. En el mercado Hidalgo encuentras de todo tipo de cosas ropa, recuerdos y la comida regional en los muchos puestos que los venden tanto afuera como adentro del mismo mercado. La fachada es hermosa, tanto que no parece la entrada aún mercado.",4,271,11,1,mercado,lugar tipico guanajuato mercado hidalgo encontrar tipo cosa ropa recuerdo comida regional puesto vender afuera adentro mismo mercado fachada ser hermoso parecer entrada aun mercado,3
229,229,"Como algunos han dicho, este lugar anterior se recomienda mucho. El almuerzo tapas lateral no es muy buena y muy cara. El otro lado es otra historia. Fui allí por la música (anuncia Buena Vista Social Club). No reconocí a nadie en Dis de la...banda. Me esperaba una mezcla de banda clásica y cubana. Toda la banda fue electrónica, ni siquiera una guitarra eléctrica acústica. Primero, el espectáculo es de  CUC más como $ US. Incluye una cena mala y  bebidas (quédate con cerveza, bebidas muy débiles). Yo cometí el error de comer la ensalada, muy pequeña, todavía estoy enfermo .  semanas más tarde. El primer conjunto de  a  es terrible. Un patético trío de cámara que no tiene lugar allí. El espectáculo principal está bien, no es mi taza de té. Mi compañero me gustó.  ventajas que no son razones suficientes para recomendar este lugar es WIFI (si tienes una tarjeta) y aire acondicionado.Más",2,906,17,1,ser,alguno haber decir lugar anterior recomendar almuerzo tapa lateral ser buen caro lado ser historia ir alli musica anunciar buen vista social club reconocer nadie dis banda esperar mezcla banda clasico cubano banda ser electronica siquiera guitarra electrico acustico primero espectaculo ser cuc mas us incluir cena malo bebida quedar cerveza bebida debil cometer error comer ensalada pequeno todavia enfermo semana mas tarde primero conjunto ser terrible patetico trio camara tener lugar alli espectaculo principal bien ser taza companero gusto ventaja ser razón suficiente recomendar lugar ser wifi si tener tarjeta aire acondicionado ma,2
